State	 City
PR	Adjuntas
PR	Aguada
PR	Aguadilla
PR	Aguadilla
PR	Aguadilla
PR	Maricao
PR	Anasco
PR	Arecibo
PR	Arecibo
PR	Arecibo
PR	Barceloneta
PR	Barceloneta
PR	Cabo Rojo
PR	Penuelas
PR	Camuy
PR	Adjuntas
PR	Sabana Grande
PR	Ciales
PR	Utuado
PR	Dorado
PR	Toa Baja
PR	Florida
PR	Guanica
PR	Gu+//0-nica
PR	Guayanilla
PR	Hatillo
PR	Hormigueros
PR	Isabela
PR	Jayuya
PR	Lajas
PR	Lares
PR	Las Marias
PR	Manati
PR	Moca
PR	Rincon
PR	Quebradillas
PR	Mayaguez
PR	Mayaguez
PR	San German
PR	San Sebastian
PR	Morovis
PR	Vega Alta
PR	Cata+//0-o
PR	Vega Baja
PR	Yauco
PR	Aguas Buenas
PR	Agua Buenas
PR	Aibonito
PR	Maunabo
PR	Arroyo
PR	Ponce
PR	Ponce
PR	Ponce
PR	Naguabo
PR	Naranjito
PR	Naguago
PR	Orocovis
PR	Patillas
PR	Caguas
PR	Caguas
PR	Caguas
PR	Ponce
PR	Canovanas
PR	Ponce
PR	Ponce
PR	Ponce
PR	Ponce
PR	Ceiba
PR	Cayey
PR	Cayey
PR	Fajardo
PR	Cidra
PR	Cayey
PR	Puerto Real
PR	Ceiba
PR	Rio Grande
PR	Canovanas
PR	Salinas
PR	San Lorenzo
PR	Santa Isabel
PR	Vieques
PR	Villalba
PR	Yabucoa
PR	Coamo
PR	Las Piedras
PR	Loiza
PR	Luquillo
PR	Culebra
PR	Juncos
PR	Gurabo
PR	Ponce
PR	Comerio
PR	Corozal
PR	Guayama
PR	Guayama
PR	Humacao
PR	Humacao
PR	Barranquitas
PR	Barranquita
PR	Juana Diaz
VI	St Thomas
VI	Stthomas
VI	St Thomas
VI	St Thomas
VI	St Croix
VI	Stcroix
VI	St John
VI	St John
VI	St Croix
VI	Stcroix
VI	St Croix
VI	Stcroix
VI	St Croix
PR	Morovis
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	San Juan
PR	Carolina
PR	San Juan
PR	San Juan
PR	Trujillo Alto
PR	San Juan
PR	San Juan
PR	Guaynabo
PR	Dorado
PR	Toa Baja
PR	Toa Baja
PR	Toa Baja
PR	Toa Alta
PR	Toa Alta
PR	Bayamon
PR	San Juan
PR	Bayamon
PR	Bayamon
PR	Bayamon
PR	Bayamon
PR	Catano
PR	Toa Baja
PR	Cata+//0-o
PR	Catano
PR	Cata+//0-o
PR	Catano
PR	Guaynabo
PR	Guaynabo
PR	Bayamon
PR	Guaynabo
PR	Caguas
PR	Catano
PR	Guaynabo
PR	Caguas
PR	San Juan
PR	Guaynabo
PR	Catano
PR	Trujillo Alto
PR	Trujillo Alto
PR	Carolina
PR	Trujillo Alto
PR	Canovanas
PR	Carolina
PR	Carolina
PR	Carolina
PR	Carolina
PR	Canovanas
PR	Carolina
PR	Carolina
PR	Canovanas
PR	Trujillo Alto
PR	Carolina
MA	Agawam
MA	Amherst
MA	Pelham
MA	Barre
MA	Belchertown
MA	Brimfield
MA	Chester
MA	Chesterfield
MA	Chicopee
MA	Chicopee
MA	Chicopee
MA	Cummington
MA	Easthampton
MA	Westhampton
MA	East Longmeadow
MA	Feeding Hills
MA	Gilbertville
MA	Granby
MA	Granville
MA	Hadley
MA	Hampden
MA	Hatfield
MA	Haydenville
MA	Holyoke
MA	Springfield
MA	Huntington
MA	Leeds
MA	Leverett
MA	Ludlow
MA	Monson
MA	Northampton
MA	Florence
MA	Oakham
MA	Palmer
MA	Shutesbury
MA	Southampton
MA	South Hadley
MA	Southwick
MA	Wales
MA	Ware
MA	Warren
MA	Westfield
MA	West Springfield
MA	West Warren
MA	Whately
MA	Wilbraham
MA	Williamsburg
MA	Worthington
MA	Springfield
MA	Springfield
MA	Springfield
MA	Springfield
MA	Springfield
MA	Longmeadow
MA	Springfield
MA	Springfield
MA	Springfield
MA	Springfield
MA	Springfield
MA	Springfield
MA	Springfield
MA	Indian Orchard
MA	Springfield
MA	Pittsfield
MA	Adams
MA	Becket
MA	Cheshire
MA	Dalton
MA	Great Barrington
MA	Hinsdale
MA	Hancock
MA	Lanesborough
MA	Lee
MA	Lenox
MA	Great Barrington
MA	Monterey
MA	Clarksburg
MA	Florida
MA	North Adams
MA	Otis
MA	Richmond
MA	Savoy
MA	Sheffield
MA	Williamstown
MA	Greenfield
MA	Leyden
MA	Ashfield
MA	Athol
MA	Phillipston
MA	Bernardston
MA	Charlemont
MA	Colrain
MA	Conway
MA	Erving
MA	Heath
MA	Montague
MA	New Salem
MA	Northfield
MA	Orange
MA	Petersham
MA	Rowe
MA	Royalston
MA	Shelburne Falls
MA	South Deerfield
MA	Sunderland
MA	Turners Falls
MA	Gill
MA	Warwick
MA	Fitchburg
MA	Ashburnham
MA	Ashby
MA	Ayer
MA	Devens
MA	Baldwinville
MA	East Templeton
MA	Gardner
MA	Groton
MA	Harvard
MA	Hubbardston
MA	Leominster
MA	Littleton
MA	Lunenburg
MA	Pepperell
MA	Shirley
MA	Templeton
MA	Townsend
MA	Westminster
MA	Winchendon
MA	Auburn
MA	Berlin
MA	Blackstone
MA	Boylston
MA	Brookfield
MA	Charlton
MA	Clinton
MA	East Brookfield
MA	Douglas
MA	Fiskdale
MA	Grafton
MA	Holden
MA	Holland
MA	Jefferson
MA	Lancaster
MA	Leicester
MA	Millbury
MA	Millville
MA	New Braintree
MA	Northborough
MA	Northbridge
MA	North Brookfield
MA	North Grafton
MA	Oxford
MA	Princeton
MA	Rutland
MA	Shrewsbury
MA	Southbridge
MA	South Grafton
MA	Spencer
MA	Sterling
MA	Sturbridge
MA	Upton
MA	Uxbridge
MA	Webster
MA	Dudley
MA	Westborough
MA	West Boylston
MA	West Brookfield
MA	Whitinsville
MA	Sutton
MA	Worcester
MA	Worcester
MA	Worcester
MA	Worcester
MA	Worcester
MA	Worcester
MA	Worcester
MA	Worcester
MA	Worcester
MA	Paxton
MA	Framingham
MA	Framingham
MA	Boxborough
MA	Acton
MA	Ashland
MA	Bedford
MA	Bedford
