STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     4931;19530101;   5;   -1.6;   5.1;   5.3;  949.00;   93.00;   2.4;   -0.6;   -3.9;   -999;   4.0;   0.7;   7;     -999;   0;eor
     4931;19530102;   5;   -2.1;   4.8;   8.0;  956.20;   92.00;   4.8;   -1.2;   -2.3;   -999;   7.5;   1.6;   7;     -999;   1;eor
     4931;19530103;   5;   -2.8;   4.7;   8.0;  958.70;   94.00;   2.1;   -1.9;   -3.3;   -999;   5.2;   1.0;   7;     -999;   3;eor
     4931;19530104;   5;   -2.2;   4.7;   8.0;  965.40;   90.00;   3.0;   -1.4;   -4.0;   -999;   4.3;   0.6;   7;     -999;   5;eor
     4931;19530105;   5;   -3.0;   4.5;   8.0;  968.70;   90.00;   3.7;   -1.6;   -3.7;   -999;   5.0;   0.2;   7;     -999;   6;eor
     4931;19530106;   5;   -3.3;   4.3;   8.0;  958.80;   90.00;   1.9;   -2.7;   -4.3;   -999;   4.2;   1.0;   7;     -999;   5;eor
     4931;19530107;   5;   -3.9;   4.3;   8.0;  956.20;   92.00;   3.2;   -3.1;   -4.2;   -999;   4.4;   1.1;   7;     -999;   6;eor
     4931;19530108;   5;   -3.0;   4.7;   8.0;  964.70;   96.00;   1.4;   -2.4;   -4.3;   -999;   3.3;   0.3;   7;     -999;   8;eor
     4931;19530109;   5;   -2.0;   4.7;   7.3;  969.20;   89.00;   4.0;   -1.0;   -3.4;   -999;  12.5;   1.0;   7;     -999;   8;eor
     4931;19530110;   5;   -0.7;   5.3;   8.0;  968.30;   90.00;   5.2;    0.2;   -2.4;   -999;  12.0;   0.5;   8;     -999;   9;eor
     4931;19530111;   5;   -3.2;   4.3;   7.0;  979.40;   84.00;   2.4;   -0.5;   -5.7;   -999;   5.0;   0.0;   7;     -999;   8;eor
     4931;19530112;   5;   -4.9;   3.7;   8.0;  982.20;   88.00;   1.2;   -4.1;   -7.6;   -999;   3.4;   0.0;   7;     -999;   7;eor
     4931;19530113;   5;   -5.2;   3.7;   3.0;  980.80;   87.00;   1.2;   -1.7;   -7.2;   -999;   3.6;   0.0;   0;     -999;   7;eor
