unixtime	degrees
	
1474549031	27.2
	
	
1474549871	28.3
	
	
1474550781	27.6
	
	
	
	
	
	
	
	
1474553476	27.3
	
	
1474554386	26.3
	
	
	
1474555275	25.8
	
1474556171	25.5
	
	
	
	
	
1474557991	25.1
	
	
	
	
	
	
1474559776	22.6
	
1474560686	21
	
	
	
	
	
1474562471	19.1
	
	
1474563381	18.5
	
	
	
1474564291	17.9
	
1474565179	17.1
	
	
1474566076	16.6
	
	
1474566986	16
	
	
1474567874	15.6
	
	
	
	
	
1474569681	14.8
	
	
	
	
	
1474571479	13.9
	
	
1474572376	13.7
	
	
	
1474573286	13.5
	
1474574174	13.2
	
1474575071	13.2
	
	
1474575981	13.1
	
	
1474576870	12.6
	
	
	
	
	
1474578676	12.1
	
	
1474579586	11.6
	
	
	
1474580474	11.2
	
1474581384	10.9
	
	
	
	
	
1474583169	10.8
	
	
1474584079	10.9
	
	
1474584976	11.1
	
	
1474585886	10.6
	
	
	
1474586796	10.5
	
1474587671	10.3
	
	
1474588581	10.2
	
	
	
	
	
	
	
	
1474591276	9.2
	
	
1474592186	9.8
	
	
	
	
	
	
1474593984	11.3
	
1474594881	11.1
	
	
1474595769	10.7
	
	
1474596679	10.5
	
	
1474597576	10.7
	
	
	
1474598486	10.5
	
1474599374	9.9
	
	
1474600271	9.9
	
	
	
1474601181	9.9
	
1474602091	9.9
	
	
	
	
	
1474603876	9.2
	
	
	
	
	
	
1474605674	8.8
	
1474606571	8.6
	
	
	
	
	
1474608369	8.1
	
	
1474609279	8.1
	
	
	
1474610176	8.1
	
1474611086	8.5
	
	
	
	
	
1474612871	10.2
	
	
1474613781	10.5
	
	
	
	
	
1474615579	12.7
	
	
1474616476	15
	
	
1474617386	15.7
	
	
1474618274	15.6
	
	
	
	
	
1474620081	15.6
	
	
1474620969	16.6
	
	
1474621879	17
	
	
1474622776	17.1
	
	
	
1474623686	17.6
	
1474624574	18
	
	
1474625471	18.5
	
	
	
1474626381	18.7
	
1474627291	19.2
	
	
	
	
	
1474629076	20
	
	
1474629986	20.4
	
	
	
1474630874	20.9
	
1474631771	21.7
	
	
1474632681	22.7
	
	
1474633569	22.7
	
	
1474634479	23.2
	
	
1474635389	25
	
1474636286	26.2
	
	
	
	
	
1474638071	25
	
1474638981	24.7
	
	
	
	
	
1474640780	24.4
	
	
1474641676	23.9
	
	
1474642586	23.9
	
	
1474643474	23.2
	
	
	
	
1474645281	22.1
	
	
1474646191	21.5
	
	
1474647080	21.1
	
	
1474647976	20.5
	
	
	
	
	
1474649774	18.8
	
	
	
	
	
	
1474651581	17.1
	
1474652469	16.4
	
	
1474653379	15.9
	
	
