OID;SKU;Quantity
74147914648911;646905-421;2
74147914648911;668667-421;2
74147914648911;727028-K21;2
74147914648911;788095-425;2
74147914648911;7P94U4;3
74147914648911;818208-K21;3
74147914648911;GG3G07U4;1
74147914648911;GG9853U;1
74147914648911;GG9855U;2
74147914648911;GGE092U;1
74147914648911;GGG225K;3
74147914648911;GGG239U;1
74147914648911;GGG315U;3
74147914648911;GGL001U;3
74147914648911;GGL002U;1
74147914648911;L4K32UW-ZX;1
74147914648911;L4P53U;2
74147914648911;M4R63RX-ZX;2
74147914648911;P5X65RX-ZX;3
74147914648911;W3M13EX-ZX;3
74147914648911;X0F14RX-ZX;1
74147914648911;X6R24RA-ZX;1
74147914648911;X9K58UW-ZX;3
74147914648912;492337-K21;3
74147914648912;7P72UX;2
74147914648912;GGG311U;3
74147914648912;GGL256U;1
74147914648912;GGL260U;3
74147914648912;M5V14RX-ZX;3
74147914648912;Q3Q25EX-ZX;2
74147914648912;UM870U;1
74147914648912;X4P58UW-ZX;2
74147914648912;X7K66UX;1
74147914648912;X9K56UW-ZX;1
74147914648912;X9K83RX-ZX;3
74147914811221;642121-421;3
74147914811221;727027-K21;1
74147914811221;760133-K21;3
74147914811221;830702-425;1
74147914811221;837826-421;1
74147914811221;843374-425;2
74147914811221;GG9825U;2
74147914811221;GGG536U;3
74147914811221;M9U07U;3
74147914811221;Q8K63RX-ZX;2
74147914811221;U9S75UU;1
74147914811221;W6Q06RX-ZX;3
74147914811221;X2F46RX-ZX;1
74147914811221;X4P55UW-ZX;2
74147914811221;X9K77RX-ZX;1
74147914856511;GGE061U;1
74147914870511;GG9980U;3
74147916140111;V7R50RX-ZX;1
74147916140111;X0E99RX-ZX;1
74147916140111;X6N55RX-ZX;2
74147916140111;X6X93RX-ZX;3
74147916140111;X9K59UW-ZX;1
74147916506111;646676-421;2
74147916506111;703931-421;2
74147916506111;788148-425;1
74147916506111;C9E49UU;2
74147916506111;GG374U;1
74147916506111;GG9532U;3
74147916506111;GG9533U;3
74147916506111;GG9623U;3
74147916506111;GG9729U;2
74147916506111;GG9777U;2
74147916506111;GG9C74RX-ZX;3
74147916506111;GGE015U;2
74147916506111;K7K99U4;2
74147916506111;N3C01UX;1
74147916506111;N6Q12RX-ZX;1
74147916506111;P4Q42RX-ZX;1
74147916506111;P6S25UW;1
74147916506111;W2W94RX-ZX;1
74147916506111;X1E45RX-ZX;2
74147916506111;X5C58RX-ZX;1
74147916506111;X7W01EX-ZXU;3
74147916506112;737287-425;2
74147916506112;GG7Q75UU;2
74147916506112;GG864U;1
74147916506112;Q3K07EX-ZX;2
74147916506112;Q7W47RX-ZX;1
74147916506112;Q8K43RX-ZX;3
74147916506112;Q8K55RX-ZX;1
74147916506112;V9H83UW-ZX;3
74147916506112;W8Q72RX-ZX;2
74147916506112;X4K41RA-ZX;2
74147916506112;X4R06RX-ZXU;3
74147916506112;X6Q27RA-ZX;3
74147916506112;X9X60EX-ZX;3
74147916788421;507782-K21;3
74147916788421;803860-K21;3
74147916788421;830572-K21;2
74147916788421;F8C55UU;1
74147916788421;GG9587U;1
74147916788421;GGC101U;2
74147916788421;GGG240U;3
74147916788421;GGG302K;1
74147916788421;GGG934U;3
74147916788421;K7X27UX;2
74147916788421;M9U09U;1
74147916788421;P4F93RX-ZX;2
74147916788421;Q3Q19RA;3
74147916788421;W3M14EX-ZX;1
74147916788421;X0E92RX-ZX;2
74147916788421;X0F00RX-ZX;1
74147916788421;X0N34RX-ZX;1
74147916788421;X0P09RA-ZX;3
74147916788421;X2F00RX-ZX;3
74147916788421;X3K10RX;1
74147916788421;X3M78UU;2
74147916788421;X4GG06EX-ZX;2
74147916788421;X7V62RX-ZX;1
74147916788421;X9K57UW-ZX;3
74147916788421;X9X08RX;3
74147916788421;X9X62RX-ZX;1
74147916788422;470065-822;3
74147916788422;GG319K;2
74147916788422;GG369U;2
74147916788422;GG377U;3
74147916788422;GG9448U;2
74147916788422;GG9794U;1
74147916788422;GGC104U;1
74147916788422;GGF844U;1
74147916788422;GGG303U;2
74147916788422;GGG304U;2
74147916788422;GGH327U;1
74147916788422;K0Q34UU;1
74147916788422;M4R64RX-ZX;3
74147916788422;M9U08U;1
74147916788422;N0P75RX-ZX;3
74147916788422;P1G41RX-ZXU;1
74147916788422;UGG820U;3
74147916788422;W3P92RX;2
74147916788422;X0Q12RA-ZX;3
74147916788422;X3X16UW-ZX;3
74147916788422;X6Q40EX-ZX;2
74147917004121;443529-K21;1
74147917004121;500922-421;3
74147917004121;765821-421;2
74147917004121;778457-K21;1
74147917004121;7P53U4;1
74147917004121;GG332U;3
74147917004121;GGE057U;1
74147917004121;GGG305U;1
74147917004121;GGG306C;1
74147917004121;GGG315K;1
74147917004121;P5K00EX;2
74147917004121;Q8K56RX-ZX;2
74147917004121;V1C37RX-ZX;3
74147917004121;V1C40RX-ZX;3
74147917004121;V8L66RX-ZX;1
74147917004121;X0F12RX-ZX;1
74147917004121;X4R68RX;3
74147917634111;492334-K21;2
74147917634111;633405-421;2
74147917634111;666160-K21;2
74147917634111;777424-K21;3
74147917634111;GG9728U;2
74147917634111;GGH237U;1
74147917634111;UW575K;1
74147917634111;W8P00RX-ZX;1
74147917634111;X7V56RX-ZX;2
74147917634112;668815-421;1
74147917634112;677278-421;1
74147917634112;678237-041;2
74147917634112;717170-421;2
74147917634112;C9F26UU;1
74147917634112;GG9311U;1
74147917634112;GG9776U;2
74147917634112;GGE047U;1
74147917634112;GGE094U;1
74147917634112;GGG296U;2
74147917634112;GGG896U;1
74147917634112;N001RX-ZX;2
74147917634112;V8L64RX-ZX;2
74147917634112;W5U00UW-ZX;1
74147917634112;X0F06RX;1
74147917634112;X0N05UU;3
